Frase,Respuesta,Categoría
me esta doliendo,"Lamento lo que estás pasando. ¿Podrías decirme del **1 al 10** cuánto duele y **desde cuándo**? En personas con diabetes, el dolor puede ser crónico y requiere manejo específico bajo **supervisión médica**. Puedo **trasladar tu caso** al Dr. Guzmán.",dolor
me duele mucho,"Entiendo, debe ser muy incómodo 😔. ¿Cuánto dirías que duele del **1 al 10** y **desde cuándo**? Estás en el lugar correcto para recibir ayuda. Si deseas, **contacto al Dr. Guzmán** ahora mismo.",dolor
duele,"Gracias por contarlo. ¿Del **1 al 10** cuánto duele? ¿Y **desde cuándo**? En diabetes a veces se requiere manejo **específico**. Puedo **enviar tu caso** al Dr. Guzmán.",dolor
me duelen,"Gracias por compartirlo. ¿En una escala del **1 al 10** cuánto duele y **desde cuándo**? Llegaste al lugar correcto; el Dr. Guzmán puede ayudar. Si gustas, **le paso tu mensaje**.",dolor
adolorido,"Lamento esa molestia. Para entender mejor: ¿**intensidad 1–10** y **desde cuándo**? El dolor en diabetes suele ser crónico y requiere manejo **especializado**. ¿Quieres que **contacte al Dr. Guzmán**?",dolor
adolorida,"Siento que te sientas así 😞. ¿Qué **intensidad (1–10)** tiene y **desde cuándo**? Podemos ayudarte a **mejorar tu calidad de vida**. Puedo **trasladar tu caso** al Dr. Guzmán.",dolor
tengo punzadas,"Gracias por contarlo. ¿Las punzadas serían **cuánto del 1–10** y **desde cuándo**? En diabetes, a veces se requiere manejo específico con el médico. Si deseas, **le informo** al Dr. Guzmán.",dolor
punzon,"Gracias por avisar. ¿Podrías decirme **intensidad 1–10** y **desde cuándo**? Estamos para ayudarte. ¿Te gustaría que **contacte al Dr. Guzmán**?",dolor
ardor,"Entiendo el ardor; suele ser muy molesto 😟. ¿**1–10** y **desde cuándo**? En diabetes puede requerir manejo **específico**. Puedo **enviar tu caso** al Dr. Guzmán.",dolor
me arde,"Gracias por compartirlo. ¿Del **1 al 10** cuánto arde y **desde cuándo**? Llegaste al lugar preciso; podemos ayudarte. ¿Deseas que **contacte al Dr.**?",dolor
quemazon,"Lamento esa **quemazón**. ¿**Intensidad 1–10** y **desde cuándo**? La medicina convencional suele ser insuficiente; se requiere manejo **médico**. Puedo **trasladarlo** al Dr. Guzmán.",dolor
quemazón,"Comprendo esa sensación. ¿**1–10** y **desde cuándo**? Estamos para ayudarte y **mejorar tu calidad de vida**. ¿Te contacto con el Dr. Guzmán?",dolor
hormigueo,"Gracias por contarlo. ¿Ese hormigueo es constante? ¿**Desde cuándo**? En diabetes puede corresponder a neuropatía. Puedo **enviar tu caso** al Dr. Guzmán para orientarte.",clinico
hormigueos,"Entiendo. ¿Son frecuentes? ¿**Desde cuándo**? A veces requiere manejo específico. ¿Quieres que **lo revise el Dr. Guzmán**?",clinico
entumecimiento,"Gracias por compartirlo. ¿**Desde cuándo** lo notas y en qué zona? Puedo **trasladar tu caso** al Dr. Guzmán para ayudarte.",clinico
calambre,"Suele ser muy molesto. ¿Ocurre de noche o al caminar? ¿**Desde cuándo**? Si deseas, **contacto al Dr.** para orientarte.",clinico
calambres,"Entiendo; ¿cada cuánto aparecen y **desde cuándo**? Estamos para ayudarte. Puedo **enviar tu caso** al Dr. Guzmán.",clinico
dolor pies,"Gracias por contarlo. ¿**1–10** y **desde cuándo**? En personas con diabetes puede requerir manejo **especializado**. ¿Deseas que **lo vea el Dr.**?",dolor
dolor manos,"Lamento esa molestia. ¿**1–10** y **desde cuándo**? Podemos ayudarte a **mejorar tu calidad de vida**. ¿Te contacto con el Dr. Guzmán?",dolor
ardor pies,"Entiendo ese ardor. ¿**1–10** y **desde cuándo**? En ocasiones requiere manejo específico. Puedo **trasladar tu caso** al Dr. Guzmán.",dolor
ardor manos,"Gracias por contarlo. ¿**1–10** y **desde cuándo**? Si deseas, **contacto al Dr.** para ayudarte.",dolor
me quema,"Comprendo; la sensación de quemar es muy incómoda. ¿**1–10** y **desde cuándo**? Estamos para ayudarte. ¿Quieres que **lo revise el Dr. Guzmán**?",dolor
me arde mucho,"Lamento esa intensidad 😣. ¿**1–10** y **desde cuándo**? Llegaste al lugar adecuado; podemos ayudarte. Puedo **contactar al Dr.**",dolor

glucosa baja,"Podría ser **hipoglucemia**. Primero, si puedes, **mídete** la glucosa. Si está **<70 mg/dL** o tienes **frialdad, temblor/palpitaciones, intranquilidad o debilidad**: toma **un vaso de agua con 3 cucharadas de azúcar**, espera **15 min** y **vuelve a medir**. Si sigues <70 o con síntomas, **repite**. Luego come algo con carbohidratos para mantener el nivel. Si los episodios son frecuentes, conviene evaluar con el Dr. Guzmán. 🔒 *No indicaré nombres de medicamentos por este medio.*",hipo
hipoglucemia,"Entiendo. **Mídete** la glucosa si puedes. Si está **<70 mg/dL** o presentas síntomas (frialdad, temblor/palpitaciones, intranquilidad, debilidad): toma **un vaso de agua con 3 cucharadas de azúcar**, espera **15 min** y **vuelve a medir**. Repite si es necesario y luego ingiere carbohidratos. Si es recurrente, **lo vemos con el Dr.**",hipo
baja de azucar,"Podría ser **hipoglucemia**. **Mídete** y si <70 o con síntomas: **agua + 3 cucharadas de azúcar**, espera **15 min**, vuelve a medir. Repite si hace falta y luego come algo con carbohidratos. Si ocurre seguido, revisamos con el Dr. Guzmán.",hipo
me dio hipo,"Gracias por avisar. Por seguridad: **mídete**; si **<70** o con síntomas: **agua + 3 cucharadas de azúcar**, espera **15 min**, vuelve a medir. Repite si es necesario y luego carbohidratos. Si se repite, lo **evaluamos con el Dr.**",hipo
tengo frialdad y palpitaciones,"Es compatible con **glucosa baja**. Si puedes, **mídete**; si **<70** o con esos síntomas: **un vaso de agua con 3 cucharadas de azúcar**, espera **15 min** y **vuelve a medir**. Repite si hace falta y luego carbohidratos. Si es recurrente, **lo ve el Dr.**",hipo

tengo fiebre,"Gracias por contarlo. ¿De cuántos °C es y **desde cuándo**? Si es **muy alta** o se acompaña de **dolor en el pecho**, **dificultad para respirar** o **desmayo**, sugiere **urgencia** y/o llamar al **0962062122**. Puedo **trasladar tu caso** al Dr. Guzmán.",flags
me desmaye,"⚠️ Lo lamento. Un **desmayo** amerita evaluación urgente. Te sugiero buscar **atención inmediata** y/o comunicarte con el Dr. al **0962062122**.",flags
tengo dificultad para respirar,"⚠️ Por seguridad, sugiere **atención urgente**. También puedes llamar al Dr. al **0962062122**. Si quieres, **traslado tu caso**.",flags

precio,"Con mucho gusto podemos ayudarle. 💳 **Valor:** 45 USD. ⏱️ ~60 min. Incluye evaluación integral (nutrición, educación diabetológica, pies/neuropatía, riesgo CV/renal y ECG cuando sea necesario). ¿Le comparto horarios o dirección?",costo
horario,"Con mucho gusto podemos ayudarle. 🕒 **Horarios:** L–V 08:00–12:00 y 16:00–19:30 · Sáb 09:00–16:00 · Dom solo emergencias. ¿Desea agendar?",horarios
ubicacion,"Con mucho gusto podemos ayudarle. Para enviarle la dirección exacta, ¿prefiere **Guayaquil** o **Milagro**?",direccion
direccion,"Con mucho gusto podemos ayudarle. ¿Desea atención en **Guayaquil** o **Milagro** para compartirle el GPS exacto?",direccion
